source_record_id,source_record_exact_bytes_sha256,draft_id,task_id,prompt_family_id,split,source_role,positive_skill_id,positive_skill_name,skill_id,skill_name,skill_category,skill_description,query_text,prompt_text_sha256,status,decision,reviewer,reason
rv2v4-train-apply-patch-discipline-02:positive:apply-patch-discipline,2d85f2f1935b09b05224a36ce44c2d65cd8858f6fc221f1a5e5b5f271c02b742,rv2v4-train-apply-patch-discipline-02,rv2v4-train-apply-patch-discipline-02,family-train-apply-patch-discipline-02,train,POSITIVE,apply-patch-discipline,Apply Patch Discipline,apply-patch-discipline,Apply Patch Discipline,codex,"Make small, reviewable file edits with patch-style changes and avoid unrelated rewrites.",Rename a configuration key in the two required files using reviewable hunks that preserve all surrounding user edits.,af481b16a9cf912884d71281c876035369713b0bc8c1ecb606d0430b8d8f267c,PENDING_REVIEW,,,
rv2v4-train-apply-patch-discipline-02:hard-negative-candidate:subagent-worker-protocol,c1e9dffa08dd40e9b47426d44236c6977d5a5bb0f63f0f328c58c2527bef8c0b,rv2v4-train-apply-patch-discipline-02,rv2v4-train-apply-patch-discipline-02,family-train-apply-patch-discipline-02,train,HARD_NEGATIVE_CANDIDATE,apply-patch-discipline,Apply Patch Discipline,subagent-worker-protocol,Subagent Worker Protocol,codex,"Execute an assigned implementation task as a Worker with scoped edits, validation, and handoff notes.",Rename a configuration key in the two required files using reviewable hunks that preserve all surrounding user edits.,af481b16a9cf912884d71281c876035369713b0bc8c1ecb606d0430b8d8f267c,PENDING_REVIEW,,,
rv2v4-train-apply-patch-discipline-03:positive:apply-patch-discipline,2af355d9ed87209a95168f3558254ccdcdc9364ca0ccba9e98fb53c281a0deb0,rv2v4-train-apply-patch-discipline-03,rv2v4-train-apply-patch-discipline-03,family-train-apply-patch-discipline-03,train,POSITIVE,apply-patch-discipline,Apply Patch Discipline,apply-patch-discipline,Apply Patch Discipline,codex,"Make small, reviewable file edits with patch-style changes and avoid unrelated rewrites.","Update the documented flag and its example with the smallest textual patch, leaving the rest of the guide byte-for-byte unchanged.",9bf45c12257b32d72fe3038d68f5515aeadcdcd8dbe5bb7b0bd3eb0b7384134a,PENDING_REVIEW,,,
rv2v4-train-apply-patch-discipline-03:hard-negative-candidate:workspace-git-hygiene,6bfec3b0915defca1de3a07c4c63c8a86680717a9379db3f693fc714d26ecc74,rv2v4-train-apply-patch-discipline-03,rv2v4-train-apply-patch-discipline-03,family-train-apply-patch-discipline-03,train,HARD_NEGATIVE_CANDIDATE,apply-patch-discipline,Apply Patch Discipline,workspace-git-hygiene,Workspace Git Hygiene,codex,"Inspect branch and status, protect user edits, and avoid destructive git commands.","Update the documented flag and its example with the smallest textual patch, leaving the rest of the guide byte-for-byte unchanged.",9bf45c12257b32d72fe3038d68f5515aeadcdcd8dbe5bb7b0bd3eb0b7384134a,PENDING_REVIEW,,,
rv2v4-train-apply-patch-discipline-04:positive:apply-patch-discipline,8ab501e6eda261f3b3cdee063421b9e72e009089672adc2d4d64b76a2ee07c54,rv2v4-train-apply-patch-discipline-04,rv2v4-train-apply-patch-discipline-04,family-train-apply-patch-discipline-04,train,POSITIVE,apply-patch-discipline,Apply Patch Discipline,apply-patch-discipline,Apply Patch Discipline,codex,"Make small, reviewable file edits with patch-style changes and avoid unrelated rewrites.",Insert one parser guard clause through a surgical diff and do not rewrite the function body merely to match personal style.,137c179b30b98356b147315b4623bb543945de89b73d75fb15df985fe9178757,PENDING_REVIEW,,,
rv2v4-train-apply-patch-discipline-04:hard-negative-candidate:evidence-backed-final,b82e85053a8b7424961c870926396615acb9588646de15f0cd30f5bf9e023972,rv2v4-train-apply-patch-discipline-04,rv2v4-train-apply-patch-discipline-04,family-train-apply-patch-discipline-04,train,HARD_NEGATIVE_CANDIDATE,apply-patch-discipline,Apply Patch Discipline,evidence-backed-final,Evidence Backed Final Response,codex,"Summarize completed engineering work with changed files, exact validation, and known risks.",Insert one parser guard clause through a surgical diff and do not rewrite the function body merely to match personal style.,137c179b30b98356b147315b4623bb543945de89b73d75fb15df985fe9178757,PENDING_REVIEW,,,
rv2v4-train-browser-smoke-testing-01:positive:browser-smoke-testing,897530a82ddf765009885e680de742a796ae1960532bf18ca8d415d73ba6bb35,rv2v4-train-browser-smoke-testing-01,rv2v4-train-browser-smoke-testing-01,family-train-browser-smoke-testing-01,train,POSITIVE,browser-smoke-testing,Browser Smoke Testing,browser-smoke-testing,Browser Smoke Testing,browser-gui,Open a local web target and verify that the main page renders and core controls respond.,"Launch the local admin dashboard and confirm that the main route renders, sidebar links open, and the logout control responds.",6a4260beb51f8bb7d9587c11ee7b68500bd2f9819949492f7a3118e7c944dbc9,PENDING_REVIEW,,,
rv2v4-train-browser-smoke-testing-01:hard-negative-candidate:form-interaction-flow,6c4664848baf66301d72653eb43c41e74a41186cd9398067e42ce1a21ed43904,rv2v4-train-browser-smoke-testing-01,rv2v4-train-browser-smoke-testing-01,family-train-browser-smoke-testing-01,train,HARD_NEGATIVE_CANDIDATE,browser-smoke-testing,Browser Smoke Testing,form-interaction-flow,Form Interaction Flow,browser-gui,Drive browser forms and controls through realistic user interactions.,"Launch the local admin dashboard and confirm that the main route renders, sidebar links open, and the logout control responds.",6a4260beb51f8bb7d9587c11ee7b68500bd2f9819949492f7a3118e7c944dbc9,PENDING_REVIEW,,,
rv2v4-train-browser-smoke-testing-02:positive:browser-smoke-testing,5cd88b08abb4589760c1013ccb57b90b1f929a97d8c27435f07e46c42ff0100c,rv2v4-train-browser-smoke-testing-02,rv2v4-train-browser-smoke-testing-02,family-train-browser-smoke-testing-02,train,POSITIVE,browser-smoke-testing,Browser Smoke Testing,browser-smoke-testing,Browser Smoke Testing,browser-gui,Open a local web target and verify that the main page renders and core controls respond.,"Open the preview build in a browser and smoke-check the landing page, primary call to action, and basic navigation behavior.",27752c4a1a5abae3bda09e06c1136838d016ac603e0334d5ab12ea707f86f1db,PENDING_REVIEW,,,
rv2v4-train-browser-smoke-testing-02:hard-negative-candidate:visual-regression-review,e37100e0c8e8fdc57a3725182a9f9d8ce9c5d201de249b39cdc359a76cace4cf,rv2v4-train-browser-smoke-testing-02,rv2v4-train-browser-smoke-testing-02,family-train-browser-smoke-testing-02,train,HARD_NEGATIVE_CANDIDATE,browser-smoke-testing,Browser Smoke Testing,visual-regression-review,Visual Regression Review,browser-gui,"Compare browser-rendered UI state against expected layout, content, and responsive behavior.","Open the preview build in a browser and smoke-check the landing page, primary call to action, and basic navigation behavior.",27752c4a1a5abae3bda09e06c1136838d016ac603e0334d5ab12ea707f86f1db,PENDING_REVIEW,,,
rv2v4-train-browser-smoke-testing-03:positive:browser-smoke-testing,b12c468d1f5b0ef63374b4eff1b16d1b80261e8e96803e6456b5d15d7b99ce0c,rv2v4-train-browser-smoke-testing-03,rv2v4-train-browser-smoke-testing-03,family-train-browser-smoke-testing-03,train,POSITIVE,browser-smoke-testing,Browser Smoke Testing,browser-smoke-testing,Browser Smoke Testing,browser-gui,Open a local web target and verify that the main page renders and core controls respond.,"Run a quick browser pass over the login page to ensure assets load, password reveal works, and the submit button reacts.",dd8a3b0f5f28558e49d566b02dd93353d0e95ac23c102353e0ef27ee5c0539ac,PENDING_REVIEW,,,
rv2v4-train-browser-smoke-testing-03:hard-negative-candidate:accessibility-tree-inspection,d8ff3aec54f61c69301c3a32abe1ea66c4b2cad52774008eb83bf5ee57b35100,rv2v4-train-browser-smoke-testing-03,rv2v4-train-browser-smoke-testing-03,family-train-browser-smoke-testing-03,train,HARD_NEGATIVE_CANDIDATE,browser-smoke-testing,Browser Smoke Testing,accessibility-tree-inspection,Accessibility Tree Inspection,browser-gui,"Inspect accessible names, roles, and tree structure to drive or audit browser UI behavior.","Run a quick browser pass over the login page to ensure assets load, password reveal works, and the submit button reacts.",dd8a3b0f5f28558e49d566b02dd93353d0e95ac23c102353e0ef27ee5c0539ac,PENDING_REVIEW,,,
rv2v4-train-browser-smoke-testing-04:positive:browser-smoke-testing,f5a846900d24ad6b6f6963bc9141329703aa50ec2484920c4e943700ac30b8cb,rv2v4-train-browser-smoke-testing-04,rv2v4-train-browser-smoke-testing-04,family-train-browser-smoke-testing-04,train,POSITIVE,browser-smoke-testing,Browser Smoke Testing,browser-smoke-testing,Browser Smoke Testing,browser-gui,Open a local web target and verify that the main page renders and core controls respond.,"Verify that the documentation site starts successfully and that top navigation, search, and the version switcher are usable.",388ad5f1875c4b65e8a8b17859da65302cdcf114c71ecc8e9b3ccd3f03deed40,PENDING_REVIEW,,,
rv2v4-train-browser-smoke-testing-04:hard-negative-candidate:form-interaction-flow,2dff811c33ccdf3329805636c29699e1ff722128588c1a6b423236308c241559,rv2v4-train-browser-smoke-testing-04,rv2v4-train-browser-smoke-testing-04,family-train-browser-smoke-testing-04,train,HARD_NEGATIVE_CANDIDATE,browser-smoke-testing,Browser Smoke Testing,form-interaction-flow,Form Interaction Flow,browser-gui,Drive browser forms and controls through realistic user interactions.,"Verify that the documentation site starts successfully and that top navigation, search, and the version switcher are usable.",388ad5f1875c4b65e8a8b17859da65302cdcf114c71ecc8e9b3ccd3f03deed40,PENDING_REVIEW,,,
rv2v4-train-evidence-backed-final-01:positive:evidence-backed-final,950f79c1e037b500c46f6cab97ad87448e073ae80766034b8db9262704f60e03,rv2v4-train-evidence-backed-final-01,rv2v4-train-evidence-backed-final-01,family-train-evidence-backed-final-01,train,POSITIVE,evidence-backed-final,Evidence Backed Final Response,evidence-backed-final,Evidence Backed Final Response,codex,"Summarize completed engineering work with changed files, exact validation, and known risks.","Close out the bug fix by naming changed files, fresh commands and results, plus any risk that the checks did not cover.",657a9a172f9ca096f8a9422b5e26ed732c651db2253c5d0b68905bbe1ee1e6ac,PENDING_REVIEW,,,
rv2v4-train-evidence-backed-final-01:hard-negative-candidate:subagent-worker-protocol,1e80f769629800c0fbcca4b8426cd54430f69004604edd8650f67b5641fc420f,rv2v4-train-evidence-backed-final-01,rv2v4-train-evidence-backed-final-01,family-train-evidence-backed-final-01,train,HARD_NEGATIVE_CANDIDATE,evidence-backed-final,Evidence Backed Final Response,subagent-worker-protocol,Subagent Worker Protocol,codex,"Execute an assigned implementation task as a Worker with scoped edits, validation, and handoff notes.","Close out the bug fix by naming changed files, fresh commands and results, plus any risk that the checks did not cover.",657a9a172f9ca096f8a9422b5e26ed732c651db2253c5d0b68905bbe1ee1e6ac,PENDING_REVIEW,,,
rv2v4-train-evidence-backed-final-02:positive:evidence-backed-final,f47abd78efb8987f7e8626e1686c8363a65d8f8384ef67d3e3aa030b975ec38e,rv2v4-train-evidence-backed-final-02,rv2v4-train-evidence-backed-final-02,family-train-evidence-backed-final-02,train,POSITIVE,evidence-backed-final,Evidence Backed Final Response,evidence-backed-final,Evidence Backed Final Response,codex,"Summarize completed engineering work with changed files, exact validation, and known risks.","Write the final implementation summary with exact passing counts and observed behavior, without claiming unmeasured performance gains.",6dc8bb38278393f18a3a68a9cf3a56bb8272a179114bde0727e5a8d7c5f25add,PENDING_REVIEW,,,
rv2v4-train-evidence-backed-final-02:hard-negative-candidate:workspace-git-hygiene,6d0c04d8301122774985e88df6df580d34cfc91c75f810b3a185a79ef947d7c2,rv2v4-train-evidence-backed-final-02,rv2v4-train-evidence-backed-final-02,family-train-evidence-backed-final-02,train,HARD_NEGATIVE_CANDIDATE,evidence-backed-final,Evidence Backed Final Response,workspace-git-hygiene,Workspace Git Hygiene,codex,"Inspect branch and status, protect user edits, and avoid destructive git commands.","Write the final implementation summary with exact passing counts and observed behavior, without claiming unmeasured performance gains.",6dc8bb38278393f18a3a68a9cf3a56bb8272a179114bde0727e5a8d7c5f25add,PENDING_REVIEW,,,
rv2v4-train-evidence-backed-final-03:positive:evidence-backed-final,41f3a29db8a3692eccbae54f8a13749311d1a94984f68edb03430ea899dcea68,rv2v4-train-evidence-backed-final-03,rv2v4-train-evidence-backed-final-03,family-train-evidence-backed-final-03,train,POSITIVE,evidence-backed-final,Evidence Backed Final Response,evidence-backed-final,Evidence Backed Final Response,codex,"Summarize completed engineering work with changed files, exact validation, and known risks.","Report that one required check is blocked, include its exact failure, and distinguish completed evidence from remaining work.",18756453eb202be2969a96f7c1c4c2c76318991dc06502f70195768d645e97dd,PENDING_REVIEW,,,
rv2v4-train-evidence-backed-final-03:hard-negative-candidate:apply-patch-discipline,090c86f5737ae52d6129ff2968cdfb3eb888f0544d49829ec12789e6a8216600,rv2v4-train-evidence-backed-final-03,rv2v4-train-evidence-backed-final-03,family-train-evidence-backed-final-03,train,HARD_NEGATIVE_CANDIDATE,evidence-backed-final,Evidence Backed Final Response,apply-patch-discipline,Apply Patch Discipline,codex,"Make small, reviewable file edits with patch-style changes and avoid unrelated rewrites.","Report that one required check is blocked, include its exact failure, and distinguish completed evidence from remaining work.",18756453eb202be2969a96f7c1c4c2c76318991dc06502f70195768d645e97dd,PENDING_REVIEW,,,
rv2v4-train-evidence-backed-final-04:positive:evidence-backed-final,018438eb9b7fb13b3b303488ad4a2ff6288b677951e0a2aced0fd0a347f3bfef,rv2v4-train-evidence-backed-final-04,rv2v4-train-evidence-backed-final-04,family-train-evidence-backed-final-04,train,POSITIVE,evidence-backed-final,Evidence Backed Final Response,evidence-backed-final,Evidence Backed Final Response,codex,"Summarize completed engineering work with changed files, exact validation, and known risks.","Prepare a concise closeout that cites artifact hashes, repository status, validation output, and explicitly excluded actions.",e4f9d02b65650a446e66e107b3c1b9b486c554fecc98304c143713310f348ee3,PENDING_REVIEW,,,
rv2v4-train-evidence-backed-final-04:hard-negative-candidate:subagent-worker-protocol,61351aded391dbcd45787bcc298ad727c530ac8d2d75dc42afe1d3e4d35ef0ae,rv2v4-train-evidence-backed-final-04,rv2v4-train-evidence-backed-final-04,family-train-evidence-backed-final-04,train,HARD_NEGATIVE_CANDIDATE,evidence-backed-final,Evidence Backed Final Response,subagent-worker-protocol,Subagent Worker Protocol,codex,"Execute an assigned implementation task as a Worker with scoped edits, validation, and handoff notes.","Prepare a concise closeout that cites artifact hashes, repository status, validation output, and explicitly excluded actions.",e4f9d02b65650a446e66e107b3c1b9b486c554fecc98304c143713310f348ee3,PENDING_REVIEW,,,
rv2v4-train-form-interaction-flow-01:positive:form-interaction-flow,c0930bec7bebc2b17b343359c0a8f85f062428d7afaceaf199b1727ef0cd97bd,rv2v4-train-form-interaction-flow-01,rv2v4-train-form-interaction-flow-01,family-train-form-interaction-flow-01,train,POSITIVE,form-interaction-flow,Form Interaction Flow,form-interaction-flow,Form Interaction Flow,browser-gui,Drive browser forms and controls through realistic user interactions.,"Complete the multi-step account form with its country selector, birth date, profile upload, and final confirmation action.",8cde9590945e08492d84d40700b8f4a8c7dc412de0ac46bc92d1bd0d438a9e9c,PENDING_REVIEW,,,
rv2v4-train-form-interaction-flow-01:hard-negative-candidate:visual-regression-review,4c136db0c1a5790e86f04729387ef152d8087171da0b7a1134eed052960bc570,rv2v4-train-form-interaction-flow-01,rv2v4-train-form-interaction-flow-01,family-train-form-interaction-flow-01,train,HARD_NEGATIVE_CANDIDATE,form-interaction-flow,Form Interaction Flow,visual-regression-review,Visual Regression Review,browser-gui,"Compare browser-rendered UI state against expected layout, content, and responsive behavior.","Complete the multi-step account form with its country selector, birth date, profile upload, and final confirmation action.",8cde9590945e08492d84d40700b8f4a8c7dc412de0ac46bc92d1bd0d438a9e9c,PENDING_REVIEW,,,
rv2v4-train-form-interaction-flow-02:positive:form-interaction-flow,a1e79087ffa04ab9a52bd73d335356235e1b9cca5101cbe1caccee4319432727,rv2v4-train-form-interaction-flow-02,rv2v4-train-form-interaction-flow-02,family-train-form-interaction-flow-02,train,POSITIVE,form-interaction-flow,Form Interaction Flow,form-interaction-flow,Form Interaction Flow,browser-gui,Drive browser forms and controls through realistic user interactions.,"Exercise checkout validation with missing fields, correct every reported error, and submit a test order through the browser.",0a4befa473ebafa934fdf08963b5ab6bc59df8d634b15e7f20e3aedc8e502486,PENDING_REVIEW,,,
rv2v4-train-form-interaction-flow-02:hard-negative-candidate:accessibility-tree-inspection,b072541322039a17fa97818523d71e65c48d0a6c773789e6f3e86f06445f07c8,rv2v4-train-form-interaction-flow-02,rv2v4-train-form-interaction-flow-02,family-train-form-interaction-flow-02,train,HARD_NEGATIVE_CANDIDATE,form-interaction-flow,Form Interaction Flow,accessibility-tree-inspection,Accessibility Tree Inspection,browser-gui,"Inspect accessible names, roles, and tree structure to drive or audit browser UI behavior.","Exercise checkout validation with missing fields, correct every reported error, and submit a test order through the browser.",0a4befa473ebafa934fdf08963b5ab6bc59df8d634b15e7f20e3aedc8e502486,PENDING_REVIEW,,,
rv2v4-train-form-interaction-flow-03:positive:form-interaction-flow,b27e62ea7fea15e8cc80cbe4842f1ebddecf95c231918344ab7720f5cb18a5b9,rv2v4-train-form-interaction-flow-03,rv2v4-train-form-interaction-flow-03,family-train-form-interaction-flow-03,train,POSITIVE,form-interaction-flow,Form Interaction Flow,form-interaction-flow,Form Interaction Flow,browser-gui,Drive browser forms and controls through realistic user interactions.,"Fill the feedback dialog, choose a rating, toggle consent, send the response, and confirm the success state appears.",b8aa1a0a8ca516fc08b0abe8e786492ed222a19277f2a9008170b7959f4bc1de,PENDING_REVIEW,,,
rv2v4-train-form-interaction-flow-03:hard-negative-candidate:browser-smoke-testing,f65b61e612e49ee88766a22b12d93c91afde0c7fe9acf663a03f994956db6f43,rv2v4-train-form-interaction-flow-03,rv2v4-train-form-interaction-flow-03,family-train-form-interaction-flow-03,train,HARD_NEGATIVE_CANDIDATE,form-interaction-flow,Form Interaction Flow,browser-smoke-testing,Browser Smoke Testing,browser-gui,Open a local web target and verify that the main page renders and core controls respond.,"Fill the feedback dialog, choose a rating, toggle consent, send the response, and confirm the success state appears.",b8aa1a0a8ca516fc08b0abe8e786492ed222a19277f2a9008170b7959f4bc1de,PENDING_REVIEW,,,
rv2v4-train-form-interaction-flow-04:positive:form-interaction-flow,f63fad9326fc5a749d34dad5a3c30cc3fc905939f5dcde21ae4c867de0a2237b,rv2v4-train-form-interaction-flow-04,rv2v4-train-form-interaction-flow-04,family-train-form-interaction-flow-04,train,POSITIVE,form-interaction-flow,Form Interaction Flow,form-interaction-flow,Form Interaction Flow,browser-gui,Drive browser forms and controls through realistic user interactions.,"Drive the signup flow using only the keyboard, select an autocomplete option, accept the terms, and submit the form.",d96507b891f1d90af80544524866f8c3830fdfa15dbb98e58a1d1b4fddf67f63,PENDING_REVIEW,,,
rv2v4-train-form-interaction-flow-04:hard-negative-candidate:visual-regression-review,429f68814a7b1771d7511242845bceb8a8c3794350101cc0f580840c1e0e629f,rv2v4-train-form-interaction-flow-04,rv2v4-train-form-interaction-flow-04,family-train-form-interaction-flow-04,train,HARD_NEGATIVE_CANDIDATE,form-interaction-flow,Form Interaction Flow,visual-regression-review,Visual Regression Review,browser-gui,"Compare browser-rendered UI state against expected layout, content, and responsive behavior.","Drive the signup flow using only the keyboard, select an autocomplete option, accept the terms, and submit the form.",d96507b891f1d90af80544524866f8c3830fdfa15dbb98e58a1d1b4fddf67f63,PENDING_REVIEW,,,
rv2v4-train-mcp-tool-routing-01:positive:mcp-tool-routing,d25d454fb1dccc44dd6b81ec7e5d81e657a9575d576e3ba8a69fa2df7c95882c,rv2v4-train-mcp-tool-routing-01,rv2v4-train-mcp-tool-routing-01,family-train-mcp-tool-routing-01,train,POSITIVE,mcp-tool-routing,MCP Tool Routing,mcp-tool-routing,MCP Tool Routing,claude-code,"Select local MCP tools for files, browser, documents, spreadsheets, or app control based on the requested task.","Choose the appropriate local tools to inspect a Word document layout, edit its content, and verify the rendered pages.",ef9376c1c0f3699cab64cc50f697b2a37cdc7327f0b4e855dee4e7bc5118c4c9,PENDING_REVIEW,,,
rv2v4-train-mcp-tool-routing-01:hard-negative-candidate:plan-mode,bc9965cbad636295fec73b1ce9e3c1e4d424a57339affeea0d2696bb254cfc42,rv2v4-train-mcp-tool-routing-01,rv2v4-train-mcp-tool-routing-01,family-train-mcp-tool-routing-01,train,HARD_NEGATIVE_CANDIDATE,mcp-tool-routing,MCP Tool Routing,plan-mode,Plan Mode,claude-code,Clarify requirements and produce an implementation plan before changing files.,"Choose the appropriate local tools to inspect a Word document layout, edit its content, and verify the rendered pages.",ef9376c1c0f3699cab64cc50f697b2a37cdc7327f0b4e855dee4e7bc5118c4c9,PENDING_REVIEW,,,
rv2v4-train-mcp-tool-routing-02:positive:mcp-tool-routing,08e599319acb9cae58367208052889ac088896874abd529547474750a63e2f33,rv2v4-train-mcp-tool-routing-02,rv2v4-train-mcp-tool-routing-02,family-train-mcp-tool-routing-02,train,POSITIVE,mcp-tool-routing,MCP Tool Routing,mcp-tool-routing,MCP Tool Routing,claude-code,"Select local MCP tools for files, browser, documents, spreadsheets, or app control based on the requested task.","Route a task that needs an existing signed-in web session, visible page inspection, several clicks, and a final screenshot.",b11b92ed0cde6a3820dbd653bcb88bf876a18415d5e9d6764eaff6632f202413,PENDING_REVIEW,,,
